City,Country,Date,Lattitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Bredasdorp,ZA,1644118454,-34.5322,20.0403,64,95,20.16,2.36
Constitución,CL,1644118736,-35.3333,-72.4167,0,64,16.6,3.67
Albany,US,1644118738,42.6001,-73.9662,5,76,-12.03,2.02
Freeport,US,1644118457,40.6576,-73.5832,0,63,-5.55,0.89
Hilo,US,1644118740,19.7297,-155.09,20,77,24.85,3.09
Punta Arenas,CL,1644118742,-53.15,-70.9167,40,58,12.06,3.6
Bowen,AU,1644118743,-20.0167,148.2333,22,63,28.12,7.79
Cidreira,BR,1644118745,-30.1811,-50.2056,89,90,22.74,2.69
Hobart,AU,1644118612,-42.8794,147.3294,20,43,25.01,0.45
Tuktoyaktuk,CA,1644118747,69.4541,-133.0374,0,75,-35.0,4.12
Walvis Bay,NA,1644118749,-22.9575,14.5053,97,88,19.53,1.54
Lunenburg,CA,1644118750,44.3835,-64.3155,96,81,-9.0,7.41
Hong Kong,HK,1644118729,22.2855,114.1577,99,76,18.87,1.34
Vallenar,CL,1644118753,-28.5708,-70.7581,0,54,21.26,0.66
Vaini,TO,1644118755,-21.2,-175.2,100,89,26.09,6.69
Saskylakh,RU,1644118492,71.9167,114.0833,98,100,-33.44,1.22
Nikolskoye,RU,1644118759,59.7035,30.7861,100,97,-2.38,2.11
Ponta do Sol,PT,1644118760,32.6667,-17.1,56,53,18.96,5.79
Barrow,US,1644118562,71.2906,-156.7887,0,69,-28.99,4.63
Lokoja,NG,1644118763,7.8024,6.743,2,21,22.37,1.58
Buraidah,SA,1644118764,26.326,43.975,0,55,6.25,2.59
Cape Town,ZA,1644118739,-33.9258,18.4232,0,73,21.73,0.45
Nuuk,GL,1644118767,64.1835,-51.7216,100,85,-13.66,3.09
Banjarmasin,ID,1644118769,-3.3244,114.591,94,57,29.08,1.81
Vila Velha,BR,1644118770,-20.3297,-40.2925,0,85,24.97,0.45
Saint George,US,1644118772,37.1041,-113.5841,0,29,9.08,0.89
Butaritari,KI,1644118774,3.0707,172.7902,95,75,28.22,7.6
Boende,CD,1644118775,-0.2167,20.8667,87,78,20.77,0.55
Rikitea,PF,1644118776,-23.1203,-134.9692,91,69,26.31,6.69
Kapaa,US,1644118778,22.0752,-159.319,0,73,25.99,0.89
Ushuaia,AR,1644118693,-54.8,-68.3,20,57,9.81,8.23
Port Hawkesbury,CA,1644118780,45.6169,-61.3485,100,86,-7.12,10.8
Torbay,CA,1644118533,47.6666,-52.7314,100,94,5.98,5.66
Avarua,CK,1644118783,-21.2078,-159.775,40,74,28.03,6.69
Marivan,IR,1644118784,35.5219,46.176,99,97,-1.49,1.64
Hermanus,ZA,1644118786,-34.4187,19.2345,73,85,21.61,3.75
Kahului,US,1644118787,20.8947,-156.47,0,71,26.01,7.2
Chokurdakh,RU,1644118496,70.6333,147.9167,100,100,-35.72,1.12
Provideniya,RU,1644118793,64.3833,-173.3,0,77,-19.76,5.61
Honiara,SB,1644118795,-9.4333,159.95,76,71,30.16,3.51
Inzhavino,RU,1644118797,52.3185,42.4937,70,100,-22.43,1.62
Nadym,RU,1644118798,65.5333,72.5167,100,100,-29.21,0.78
Bairiki Village,KI,1644118567,1.3292,172.9752,20,70,31.0,5.14
Busselton,AU,1644118575,-33.65,115.3333,86,62,23.91,5.3
Oranjestad,AW,1644118633,12.524,-70.027,20,69,25.97,6.17
Opuwo,NA,1644118803,-18.0607,13.84,97,57,17.17,0.58
Sawtell,AU,1644118807,-30.3833,153.1,75,67,25.18,9.26
Gijang,KR,1644118809,35.2442,129.2139,100,38,2.85,6.08
Inhambane,MZ,1644118557,-23.865,35.3833,59,84,24.78,7.16
Arraial do Cabo,BR,1644118812,-22.9661,-42.0278,77,88,24.5,11.35
Kavieng,PG,1644118572,-2.5744,150.7967,100,74,28.69,3.77
Dikson,RU,1644118815,73.5069,80.5464,99,100,-29.99,2.03
Bambous Virieux,MU,1644118816,-20.3428,57.7575,75,83,27.34,5.66
Bilma,NE,1644118818,18.6853,12.9164,0,22,12.56,3.74
Tuatapere,NZ,1644118819,-46.1333,167.6833,25,48,14.34,3.57
Lüderitz,NA,1644118821,-26.6481,15.1594,87,82,18.95,2.23
Mataura,NZ,1644118822,-46.1927,168.8643,11,38,14.15,2.25
Marabu,MY,1644118824,4.4148,114.0089,40,70,31.08,1.54
Chicomuselo,MX,1644118825,15.7667,-92.2667,93,83,17.36,0.19
Saldanha,ZA,1644118827,-33.0117,17.9442,64,76,16.03,2.75
Muhoroni,KE,1644118828,-0.1541,35.1988,100,88,16.73,1.32
Agadez,NE,1644118830,19.75,10.25,0,29,10.75,1.17
